Feature,GNUR 1,GNUR 2,GNUR 3,GNUR 4,GNUR 5,CTRL 1,CTRL 2,CTRL 3,CTRL 5,CTRL 6
PE 14:0/22:4,119182.04,23717.5,40906.33,43228.6,33827.34,64996.27,51058.69,48008.23,29751.45,27197.33
PE 14:0/22:5,102520.81,46981.38,50147.89,42168.65,126866.89,68058.07,36354.63,41155.59,67958,22478.47
PE 14:0/22:6,404916.62,165235.18,131187.14,274554.2,232849.83,454376.01,330476.43,456969.98,322574.06,128149.23
PE 14:1/14:1,39549.26,27920.04,30752.87,47774.45,49203.73,54456.07,30246.62,29953.94,48913.38,31034.76
PE 16:0/14:0,1809274.67,2452207.37,872729.45,1642669.13,10142918.2,1403636.53,1131575.46,1367801.28,979412.86,1008126.54
PE 16:0/16:0,9229637.31,9963478.94,5136544.12,7980472.49,9498202.43,6716063.74,7890053.63,10211268.64,6986001.57,5470568.31
PE 16:0/16:1,20832192.6,11755757.05,15342303.48,11698156.25,7250272.19,16631759.3,6352095.26,9611170.86,13683327.85,12333841.36
PE 16:0/18:1,137170132.5,119481840.8,105827003.4,135265135.8,109666936.9,210430718.5,93877460.02,167079494.7,211357493.3,150571553.1
PE 16:0/18:2,635266233.6,648010986,565364772.4,878225895.6,716567171.1,995065013.2,305730910.4,450455393.4,931960732.2,665598440.6
PE 16:0/18:3,11327709.46,12794044.08,11234318.73,16587044.21,11473718.37,9385213.62,6096007.94,11125209.91,9284886.75,7837862.25
PE 16:0/20:1,12671956.3,11178748.66,7121599.05,13116426.94,15635910.05,10244441.91,5834100.04,6392343.76,9098745.16,6390347.15
PE 16:0/20:2,25309757.62,18550525.39,18214143.03,24287756.41,14937716.09,20952645.45,10554299.03,15101515.06,19001446.57,14588496.07
PE 16:0/20:3,74434419.35,58558958.02,50991891.07,59483658.49,31913076.67,245854639.6,54920438.52,49050169.44,215835488.6,190543588
PE 16:0/20:4,463092654,413194345.6,351525016.7,500690362.3,266098040.7,878232901.9,530564211.4,505543925.4,740802847.3,721720452.4
PE 16:0/20:5,7940224.24,7420482.82,7335192.1,9112799.73,4985337.04,7902223.24,1931776.25,1761796.48,5685591.2,6418379.89
PE 16:0/22:4,11445404.55,11796278.45,7939922.73,10805070.37,6808130.2,18348336.28,21784212.65,21292895.92,18508360.27,13554182.29
PE 16:0/22:5,43092590.97,42793842.12,38691243.41,56101843.73,31959064.37,62531382.32,74439646.81,82414286.65,60889500.84,44972348.53
PE 16:0/22:6,225937585.8,227332706.6,208370955.3,315465530,144164553.2,382346310.1,398022607,458799670.3,331709502.6,274496043
PE 18:0/14:0,898485.6,1256189.35,369446.84,734190.85,6325973.66,413190.17,341566.95,482635.39,165317.65,237120.04
PE 18:0/16:0,7726812.69,7215395.77,4626447.03,7401890.88,11263187.41,7451833.68,7346070.79,11184739.27,8161068.29,5676381.75
PE 18:0/16:1,7762344.31,8187748.22,4584774.31,6323998.1,19530595.43,5565113.57,3222300.02,4993322.84,4987048.21,4594978.16
PE 18:0/18:0,28553651.71,31007627.42,21215163.09,25731814.77,27348902.88,36303892.7,43515100.62,47551131.02,40179119.67,36341452.17
PE 18:0/18:1,627424247.7,606229725.2,495659456.1,473013097.9,463106770.4,1054692141,523225683,696824858.7,1125418064,968194235
PE 18:0/18:2,1293740975,1554096713,1220966499,1599769395,1357090594,1849805137,943806735.2,976011046.8,1870750770,1805785955
PE 18:0/18:3,17287701.46,25147063.16,15960546.98,26242460.59,20509612.2,21138741.58,24858983.9,23733441.23,24548584.57,32256506.87
PE 18:0/20:1,11682723.23,7420283.54,4684977.7,5991562.17,21048820.93,6111956.41,4794749.16,3955805.8,7115356.38,6006715.18
PE 18:0/20:2,21943434.98,18631249.6,14271118.94,15095934.2,31017068.12,59759188.05,17822421.27,14208093.44,64923636.76,63245124.61
PE 18:0/20:3,152043655.4,124837872.7,90388887.04,106831699.9,79344282,533195180.9,134381930.6,93228542.36,629619227.5,662611139.7
PE 18:0/20:4,308358262.2,363672481.8,244440405.8,348069534.2,200530822,391463480.2,550487744.4,542252687.1,443738676.6,430737548
PE 18:0/20:5,16043167.81,8038847.43,7122654.61,8285424.19,6860033.91,4728121.08,2439995.58,3096445.45,5328425.2,6505855.38
PE 18:0/22:4,7884962.98,5207264.41,3872318.5,3826652.71,5154048.07,7306053.43,9471625.33,7483211.71,10147860.45,9018810.73
PE 18:0/22:5,13204351.53,15174810.62,13838118.8,16208496.67,4146986.92,16682529.15,20779917.94,20746333.66,20450146.64,14689434.26
PE 18:0/22:6,64687601.16,73515934.16,59977967.39,84375532.24,48994608.24,71301014.32,94138771.25,98559562.11,82726981.31,66422455.38
PE 18:1/16:1,14499505.9,8161186.65,9927299.94,7341120.92,8164050.11,16202621.14,6422760.48,8698803.93,14804911.63,14771954.57
PE 18:1/18:1,100139303.6,58147449.86,66703603.07,74736719.41,63691099.97,160827624.2,70701490.9,91977382.56,145955167.8,128364595.8
PE 18:1/18:2,498800235.3,338738632.1,367231051.5,526059507.8,381690299.7,879031968.7,216046370.2,236404160.1,840751603.1,686475911
PE 18:1/18:3,7858776.73,6501266.32,6344180.94,9487461.03,7127615.83,9177956.81,4503280.25,5808278.74,8537347.98,9285959.89
PE 18:1/20:1,14689354.69,8707607.56,8802527.2,8762895.66,11029892.42,11212465.75,6166248.69,6029102.67,10103389.41,9619800.68
PE 18:1/20:2,15295773.1,7701545.38,8554763.25,8793358.64,5188681.82,17079915.11,7391590.84,7788055.4,16077111.97,16144728.47
PE 18:1/20:3,77059169.55,50727772.21,49261463.09,52580271.74,27011651.99,256009137.5,57761429.19,48080462.63,237414475.4,243043404.7
PE 18:1/20:4,507749600.7,402123935.2,313770976.5,472067277.3,242285880.4,889051723,642291767.6,557719153.3,781251770.6,847989446.4
PE 18:1/20:5,8122534.31,6863303.19,6305668.86,8320550.52,3820693.92,8988852.12,2063846.51,1708415.79,6251073.2,8501748.22
PE 18:1/22:4,9363096.63,6535983.47,4916842.53,7813236.5,4859052.72,13435750.73,15057696.62,13094259.48,11573311.59,11718594.04
PE 18:1/22:5,23697059.25,14931688.79,14536455.81,20967071.82,11697343.57,24863464.29,26249195.31,27977654.79,22744374.95,19966715.92
PE 18:1/22:6,107085126.1,79963384.35,79239783.63,127793597,49094790.14,157567472.2,123385054.5,151566135.5,155140306.6,140656499.4
PE 18:2/16:1,51770179.58,35755156.07,39089199.1,39056503.56,23632008.28,57997907.96,12572252.95,16667102.76,51570791.25,45711900.49
PE 18:2/18:2,117157837.2,98975177.71,97538038.79,188603213.2,125038835.1,69138872.48,25048271.98,25201590.56,62767265.59,49772741.44
PE 18:2/18:3,4150367.01,4548236.8,4585866.49,7905834.67,4222141.21,869557.21,763999.22,933248.49,747491.65,797858.53
PE 18:2/20:1,12140371.55,7691090.31,8672563.1,11454908.84,8933321.22,7328525.9,2294056.74,2329495.63,6986674.51,5542781.02
PE 18:2/20:2,7817982.03,4502712.03,5035356.51,6907084,3717869.18,4293900.58,1933901,1622605.41,4106260.84,3606994.67
PE 18:2/20:3,10929903.8,8001770.36,7158360.89,9902015.33,4826252.11,15493948.56,3940800.43,2661630.16,12824599.13,14377088.78
PE 18:2/20:4,42197510.51,36056550.91,28357926.33,55425964.96,24876480.34,35500422.69,30413042.84,18750844.88,28479689.73,34121825.5
PE 18:2/20:5,744873.73,667100.91,653853.69,1164494.49,395386.63,343128.39,101943.33,85226.68,256770.67,409821.68
